Ranking,Driver,Fastest Time by Sector
1,SAI,42.757
2,LEC,42.841
3,HAM,42.923
4,RIC,42.948
5,BOT,42.966
6,VET,42.994
7,KVY,43.108
8,VER,43.265
9,PER,43.300
10,RAI,43.460
11,ALB,43.482
12,STR,43.488
13,HUL,43.599
14,RUS,43.662
15,GAS,43.768
16,GIO,43.785
17,NOR,43.844
18,GRO,43.930
19,MAG,44.095
20,KUB,44.415
