Ranking,Driver,Fastest Time by Sector
1,SAI,296
2,PER,295
3,BOT,293
4,VET,292
5,GAS,290
6,LEC,289
7,RAI,288
8,KVY,287
9,GRO,287
10,VER,287
11,RUS,286
12,MAG,286
13,RIC,286
14,GIO,284
15,HAM,284
16,HUL,283
17,ALB,282
18,STR,282
19,NOR,282
20,KUB,281
