Ranking,Driver,Fastest Time by Sector
1,LEC,328
2,PER,325
3,GAS,324
4,SAI,323
5,GRO,320
6,BOT,316
7,KVY,314
8,RAI,314
9,HAM,312
10,VET,310
11,RUS,309
12,HUL,309
13,GIO,308
14,RIC,308
15,NOR,308
16,VER,306
17,ALB,305
18,MAG,303
19,KUB,302
20,STR,302
