Round,Grand Prix,Circuit ID,Circuit Name,City,Country,Latitude,Longitude,Date
1,Australian_Grand_Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,2018-03-25
2,Bahrain_Grand_Prix,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,2018-04-08
3,Chinese_Grand_Prix,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,2018-04-15
4,Azerbaijan_Grand_Prix,BAK,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,2018-04-29
5,Spanish_Grand_Prix,catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,41.57,2.26111,2018-05-13
6,Monaco_Grand_Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,2018-05-27
7,Canadian_Grand_Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,2018-06-10
8,French_Grand_Prix,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,2018-06-24
9,Austrian_Grand_Prix,red_bull_ring,Red Bull Ring,Spielburg,Austria,47.2197,14.7647,2018-07-01
10,British_Grand_Prix,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,2018-07-08
11,German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,2018-07-22
12,Hungarian_Grand_Prix,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,2018-07-29
13,Belgian_Grand_Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,2018-08-26
14,Italian_Grand_Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,2018-09-02
15,Singapore_Grand_Prix,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,2018-09-16
16,Russian_Grand_Prix,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2018-09-30
17,Japanese_Grand_Prix,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,2018-10-07
18,United_States_Grand_Prix,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,2018-10-21
19,Mexican_Grand_Prix,rodriguez,Autodromo Hermanos Rodriguez,Mexico City,Mexico,19.4042,-99.0907,2018-10-28
20,Brazilian_Grand_Prix,interlagos,Autodromo Jose Carlos Pace,Sao Paulo,Brazil,-23.7036,-46.6997,2018-11-11
21,Abu_Dhabi_Grand_Prix,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,2018-11-25
