Round,Grand Prix,Circuit ID,Circuit Name,City,Country,Date
1,Australian_Grand_Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12
2,Brazilian_Grand_Prix,interlagos,Autodromo Jose Carlos Pace,Sao Paulo,Brazil,2000-03-26
3,San_Marino_Grand_Prix,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09
4,British_Grand_Prix,silverstone,Silverstone Circuit,Silverstone,UK,2000-04-23
5,Spanish_Grand_Prix,catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,2000-05-07
6,European_Grand_Prix,nurburgring,Nurburgring,Nurburg,Germany,2000-05-21
7,Monaco_Grand_Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,2000-06-04
8,Canadian_Grand_Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,2000-06-18
9,French_Grand_Prix,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,2000-07-02
10,Austrian_Grand_Prix,osterreichring,A1-Ring,Spielburg,Austria,2000-07-16
11,German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,2000-07-30
12,Hungarian_Grand_Prix,hungaroring,Hungaroring,Budapest,Hungary,2000-08-13
13,Belgian_Grand_Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,2000-08-27
14,Italian_Grand_Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,2000-09-10
15,United_States_Grand_Prix,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,2000-09-24
16,Japanese_Grand_Prix,suzuka,Suzuka Circuit,Suzuka,Japan,2000-10-08
17,Malaysian_Grand_Prix,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2000-10-22
