Round,Grand Prix,Circuit ID,Circuit Name,City,Country,Latitude,Longitude,Date
1,Argentine_Grand_Prix,galvez,Autodromo Juan y Oscar Galvez,Buenos Aires,Argentina,-34.6943,-58.4593,1972-01-23
2,South_African_Grand_Prix,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,1972-03-04
3,Spanish_Grand_Prix,jarama,Jarama,Madrid,Spain,40.6171,-3.58558,1972-05-01
4,Monaco_Grand_Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,1972-05-14
5,Belgian_Grand_Prix,nivelles,Nivelles-Baulers,Brussels,Belgium,50.6211,4.32694,1972-06-04
6,French_Grand_Prix,charade,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,1972-07-02
7,British_Grand_Prix,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,1972-07-15
8,German_Grand_Prix,nurburgring,Nurburgring,Nurburg,Germany,50.3356,6.9475,1972-07-30
9,Austrian_Grand_Prix,osterreichring,A1-Ring,Spielburg,Austria,47.2197,14.7647,1972-08-13
10,Italian_Grand_Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,1972-09-10
11,Canadian_Grand_Prix,mosport,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,1972-09-24
12,United_States_Grand_Prix,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,1972-10-08
