Round,Grand Prix,Circuit ID,Circuit Name,City,Country,Date
1,Australian_Grand_Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,2017-03-26
2,Chinese_Grand_Prix,shanghai,Shanghai International Circuit,Shanghai,China,2017-04-09
3,Bahrain_Grand_Prix,bahrain,Bahrain International Circuit,Sakhir,Bahrain,2017-04-16
4,Russian_Grand_Prix,sochi,Sochi Autodrom,Sochi,Russia,2017-04-30
5,Spanish_Grand_Prix,catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,2017-05-14
6,Monaco_Grand_Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,2017-05-28
7,Canadian_Grand_Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,2017-06-11
8,Azerbaijan_Grand_Prix,BAK,Baku City Circuit,Baku,Azerbaijan,2017-06-25
9,Austrian_Grand_Prix,red_bull_ring,Red Bull Ring,Spielburg,Austria,2017-07-09
10,British_Grand_Prix,silverstone,Silverstone Circuit,Silverstone,UK,2017-07-16
11,Hungarian_Grand_Prix,hungaroring,Hungaroring,Budapest,Hungary,2017-07-30
12,Belgian_Grand_Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,2017-08-27
13,Italian_Grand_Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,2017-09-03
14,Singapore_Grand_Prix,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,2017-09-17
15,Malaysian_Grand_Prix,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2017-10-01
16,Japanese_Grand_Prix,suzuka,Suzuka Circuit,Suzuka,Japan,2017-10-08
17,United_States_Grand_Prix,americas,Circuit of the Americas,Austin,USA,2017-10-22
18,Mexican_Grand_Prix,rodriguez,Autodromo Hermanos Rodriguez,Mexico City,Mexico,2017-10-29
19,Brazilian_Grand_Prix,interlagos,Autodromo Jose Carlos Pace,Sao Paulo,Brazil,2017-11-12
20,Abu_Dhabi_Grand_Prix,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,2017-11-26
