Round,Grand Prix,Circuit ID,Circuit Name,City,Country,Date
1,Australian_Grand_Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,2009-03-29
2,Malaysian_Grand_Prix,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2009-04-05
3,Chinese_Grand_Prix,shanghai,Shanghai International Circuit,Shanghai,China,2009-04-19
4,Bahrain_Grand_Prix,bahrain,Bahrain International Circuit,Sakhir,Bahrain,2009-04-26
5,Spanish_Grand_Prix,catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,2009-05-10
6,Monaco_Grand_Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,2009-05-24
7,Turkish_Grand_Prix,istanbul,Istanbul Park,Istanbul,Turkey,2009-06-07
8,British_Grand_Prix,silverstone,Silverstone Circuit,Silverstone,UK,2009-06-21
9,German_Grand_Prix,nurburgring,Nurburgring,Nurburg,Germany,2009-07-12
10,Hungarian_Grand_Prix,hungaroring,Hungaroring,Budapest,Hungary,2009-07-26
11,European_Grand_Prix,valencia,Valencia Street Circuit,Valencia,Spain,2009-08-23
12,Belgian_Grand_Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,2009-08-30
13,Italian_Grand_Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,2009-09-13
14,Singapore_Grand_Prix,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,2009-09-27
15,Japanese_Grand_Prix,suzuka,Suzuka Circuit,Suzuka,Japan,2009-10-04
16,Brazilian_Grand_Prix,interlagos,Autodromo Jose Carlos Pace,Sao Paulo,Brazil,2009-10-18
17,Abu_Dhabi_Grand_Prix,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,2009-11-01
