Round,Grand Prix,Circuit ID,Circuit Name,City,Country,Latitude,Longitude,Date
1,South_African_Grand_Prix,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,1970-03-07
2,Spanish_Grand_Prix,jarama,Jarama,Madrid,Spain,40.6171,-3.58558,1970-04-19
3,Monaco_Grand_Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,1970-05-10
4,Belgian_Grand_Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,1970-06-07
5,Dutch_Grand_Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,1970-06-21
6,French_Grand_Prix,charade,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,1970-07-05
7,British_Grand_Prix,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,1970-07-18
8,German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,1970-08-02
9,Austrian_Grand_Prix,osterreichring,A1-Ring,Spielburg,Austria,47.2197,14.7647,1970-08-16
10,Italian_Grand_Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,1970-09-06
11,Canadian_Grand_Prix,tremblant,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099,1970-09-20
12,United_States_Grand_Prix,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,1970-10-04
13,Mexican_Grand_Prix,rodriguez,Autodromo Hermanos Rodriguez,Mexico City,Mexico,19.4042,-99.0907,1970-10-25
