Round,Grand Prix,Circuit ID,Circuit Name,City,Country,Date
1,Australian_Grand_Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,1999-03-07
2,Brazilian_Grand_Prix,interlagos,Autodromo Jose Carlos Pace,Sao Paulo,Brazil,1999-04-11
3,San_Marino_Grand_Prix,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,1999-05-02
4,Monaco_Grand_Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1999-05-16
5,Spanish_Grand_Prix,catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,1999-05-30
6,Canadian_Grand_Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,1999-06-13
7,French_Grand_Prix,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,1999-06-27
8,British_Grand_Prix,silverstone,Silverstone Circuit,Silverstone,UK,1999-07-11
9,Austrian_Grand_Prix,osterreichring,A1-Ring,Spielburg,Austria,1999-07-25
10,German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,1999-08-01
11,Hungarian_Grand_Prix,hungaroring,Hungaroring,Budapest,Hungary,1999-08-15
12,Belgian_Grand_Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1999-08-29
13,Italian_Grand_Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1999-09-12
14,European_Grand_Prix,nurburgring,Nurburgring,Nurburg,Germany,1999-09-26
15,Malaysian_Grand_Prix,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,1999-10-17
16,Japanese_Grand_Prix,suzuka,Suzuka Circuit,Suzuka,Japan,1999-10-31
