Round,Grand Prix,Circuit ID,Circuit Name,City,Country,Date
1,Bahrain_Grand_Prix,bahrain,Bahrain International Circuit,Sakhir,Bahrain,2006-03-12
2,Malaysian_Grand_Prix,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2006-03-19
3,Australian_Grand_Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,2006-04-02
4,San_Marino_Grand_Prix,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,2006-04-23
5,European_Grand_Prix,nurburgring,Nurburgring,Nurburg,Germany,2006-05-07
6,Spanish_Grand_Prix,catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,2006-05-14
7,Monaco_Grand_Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,2006-05-28
8,British_Grand_Prix,silverstone,Silverstone Circuit,Silverstone,UK,2006-06-11
9,Canadian_Grand_Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,2006-06-25
10,United_States_Grand_Prix,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,2006-07-02
11,French_Grand_Prix,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,2006-07-16
12,German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,2006-07-30
13,Hungarian_Grand_Prix,hungaroring,Hungaroring,Budapest,Hungary,2006-08-06
14,Turkish_Grand_Prix,istanbul,Istanbul Park,Istanbul,Turkey,2006-08-27
15,Italian_Grand_Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,2006-09-10
16,Chinese_Grand_Prix,shanghai,Shanghai International Circuit,Shanghai,China,2006-10-01
17,Japanese_Grand_Prix,suzuka,Suzuka Circuit,Suzuka,Japan,2006-10-08
18,Brazilian_Grand_Prix,interlagos,Autodromo Jose Carlos Pace,Sao Paulo,Brazil,2006-10-22
