Round,Grand Prix,Circuit ID,Circuit Name,City,Country,Date
1,Australian_Grand_Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,2015-03-15
2,Malaysian_Grand_Prix,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2015-03-29
3,Chinese_Grand_Prix,shanghai,Shanghai International Circuit,Shanghai,China,2015-04-12
4,Bahrain_Grand_Prix,bahrain,Bahrain International Circuit,Sakhir,Bahrain,2015-04-19
5,Spanish_Grand_Prix,catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,2015-05-10
6,Monaco_Grand_Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,2015-05-24
7,Canadian_Grand_Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,2015-06-07
8,Austrian_Grand_Prix,red_bull_ring,Red Bull Ring,Spielburg,Austria,2015-06-21
9,British_Grand_Prix,silverstone,Silverstone Circuit,Silverstone,UK,2015-07-05
10,Hungarian_Grand_Prix,hungaroring,Hungaroring,Budapest,Hungary,2015-07-26
11,Belgian_Grand_Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,2015-08-23
12,Italian_Grand_Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,2015-09-06
13,Singapore_Grand_Prix,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,2015-09-20
14,Japanese_Grand_Prix,suzuka,Suzuka Circuit,Suzuka,Japan,2015-09-27
15,Russian_Grand_Prix,sochi,Sochi Autodrom,Sochi,Russia,2015-10-11
16,United_States_Grand_Prix,americas,Circuit of the Americas,Austin,USA,2015-10-25
17,Mexican_Grand_Prix,rodriguez,Autodromo Hermanos Rodriguez,Mexico City,Mexico,2015-11-01
18,Brazilian_Grand_Prix,interlagos,Autodromo Jose Carlos Pace,Sao Paulo,Brazil,2015-11-15
19,Abu_Dhabi_Grand_Prix,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,2015-11-29
