Ranking,Driver,Fastest Time by Sector
1,HAM,39.115
2,BOT,39.347
3,VET,39.551
4,LEC,39.864
5,VER,40.073
6,RIC,40.112
7,ALB,40.521
8,PER,40.800
9,SAI,40.888
10,GAS,40.923
11,KVY,40.928
12,RAI,41.210
13,NOR,41.236
14,RUS,41.258
15,HUL,41.403
16,STR,41.425
17,GIO,41.464
18,GRO,41.479
19,MAG,41.543
20,KUB,41.935
