Ranking,Driver,Fastest Time by Sector
1,HAM,17.245
2,VET,17.351
3,BOT,17.393
4,LEC,17.407
5,VER,17.484
6,SAI,17.523
7,RIC,17.587
8,ALB,17.603
9,PER,17.676
10,NOR,17.719
11,KVY,17.723
12,GAS,17.723
13,RUS,17.732
14,MAG,17.775
15,RAI,17.780
16,STR,17.787
17,GRO,17.788
18,HUL,17.835
19,GIO,17.932
20,KUB,17.984
